rank,prev_rank,name,league,off,def,spi
405,406,Rubin Kazan,Russian Premier Liga,1.07,1.62,33.27
406,407,NS Mura,UEFA Europa Conference League,1.09,1.66,33.24
407,409,Mirandes,Spanish Segunda Division,1.01,1.54,33.21
408,410,Ternana,Italy Serie B,1.23,1.83,33.11
409,411,Pisa,Italy Serie B,0.91,1.42,33.09
410,439,FC Tokyo,Japanese J League,1.02,1.57,33.03
411,412,SD Huesca,Spanish Segunda Division,0.91,1.42,32.99
412,413,Grasshoppers Zürich,Swiss Raiffeisen Super League,1.16,1.76,32.89
413,415,Leganes,Spanish Segunda Division,0.9,1.42,32.74
414,391,Kashiwa Reysol,Japanese J League,1.01,1.58,32.67
